date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:53	2212/2212	---M-Z	200	added ('OK')	application/javascript	etag:%228a4-60746916adcc9-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/datatables.net-buttons/js/buttons.print.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/datatables.net-buttons/js/buttons.print.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-datatable.html)
13:32:53	2838/2838	---M-Z	200	added ('OK')	application/javascript	etag:%22b16-60746916adcc9-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/datatables.net-buttons/js/buttons.colVis.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/datatables.net-buttons/js/buttons.colVis.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-datatable.html)
13:32:53	299/299	---M-Z	200	added ('OK')	application/javascript	etag:%2212b-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/datatables.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/datatables.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-datatable.html)
13:32:54	15001/15001	---M-Z	200	added ('OK')	text/css	etag:%223a99-60746916aade9-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/admin-resources/rwd-table/rwd-table.min.css	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/admin-resources/rwd-table/rwd-table.min.css	(from https://themesdesign.in/dason-laravel/layouts/default/tables-responsive.html)
13:32:54	11552/11552	---M-Z	200	added ('OK')	application/javascript	etag:%222d20-60746916aade9-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/admin-resources/rwd-table/rwd-table.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/admin-resources/rwd-table/rwd-table.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-responsive.html)
13:32:54	169/169	---M-Z	200	added ('OK')	application/javascript	etag:%22a9-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/table-responsive.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/table-responsive.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-responsive.html)
13:32:54	1988/1988	---M-Z	200	added ('OK')	application/javascript	etag:%227c4-60746916c24ea-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/table-edits/build/table-edits.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/table-edits/build/table-edits.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-editable.html)
13:32:55	506/506	---M-Z	200	added ('OK')	application/javascript	etag:%221fa-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/table-editable.int.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/table-editable.int.js	(from https://themesdesign.in/dason-laravel/layouts/default/tables-editable.html)
13:32:55	7498/7498	---M-Z	200	added ('OK')	application/javascript	etag:%221d4a-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/apexcharts.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/apexcharts.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-apex.html)
13:32:56	8945/8945	---M-Z	200	added ('OK')	application/javascript	etag:%2222f1-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/echarts.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/echarts.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-echart.html)
